,smiles,logP,qed,SAS
0,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,0,0,0
1,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,0,0,0
2,CCCCCCOC(=O)N=C(N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,0,0,0
3,N=c1[nH]c2ccc([N+](=O)[O-])cc2s1,0,0,0
4,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0,0,0
5,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4O)cc3o2)cc1O,0,0,0
6,O=C1c2ccc(O)cc2OCC1c1ccc(O)cc1,0,0,0
7,C=CCSCC(NC(=O)CCC(N)C(=O)O)C(=O)O,0,0,0
8,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,0,0,0
9,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,0,0,0
10,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,0,0,0
11,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,0,0,0
12,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,0,0,0
13,O=C(OC1OCC(O)C(O)C1O)c1ccc(O)c(O)c1,0,0,0
14,O=c1cc[nH]c2ccccc12,0,0,0
15,NCCc1c[nH]c2ccc(OS(=O)(=O)O)cc12,0,0,0
16,OCc1cccc(Oc2ccccc2)c1,0,0,0
17,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,0,0,0
18,C1=Cc2ccccc2Nc2ccccc21,0,0,0
19,O=C(O)c1nc(Cl)ccc1Cl,0,0,0
20,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,0,0,0
21,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,0,0,0
22,OCCOc1ccccc1,0,0,0
23,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0,0,0
24,O=c1cc(CO)occ1O,0,0,0
25,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0,0,0
26,CCCCCC1=C(C)CCC1=O,0,0,0
27,CCCCCCCCCCCCCCCC(=O)NCCc1c[nH]c2ccccc12,0,0,0
28,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,0,0,0
29,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,0,0,0
30,CO[C@@H]1O[C@H](CO)[C@H](O[C@@H]2O[C@H](CO)[C@H](OC)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0,0,0
31,OC(=Nc1cccc(C2=NCCN2)c1)Nc1cccc(C2=NCCN2)c1,0,0,0
