,smiles,logP,qed,SAS
0,CC1=NCC[C@@H](C(=O)O)N1,0,0,0
1,CCC1(c2cccc(O)c2)CCCCN(C)C1,0,0,0
2,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,0,0,0
3,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,0,0,0
4,OCC1OC(n2cnc3cncnc32)C(O)C1O,0,0,0
5,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,0,0,0
6,O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,0,0,0
7,O=c1c(O)c(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)oc2cc(O)cc(O)c12,0,0,0
8,CCCCCCCCCCCCCCCC(=O)NCCO,0,0,0
9,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,0,0,0
10,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0,0,0
11,O=C(O)c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0,0,0
12,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,0,0,0
13,COc1ccc(C=CC(=O)O)cc1,0,0,0
14,COc1ccc(/C=C/C(=O)O)cc1,0,0,0
15,O=[N+]([O-])c1ccc(NC(O)=NCc2cccnc2)cc1,0,0,0
16,NC(=O)NCCCC[C@H](N)C(=O)O,0,0,0
17,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0,0,0
18,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)C(O)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,0,0,0
19,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,0,0,0
20,O=C(O)C1(C(O)=Nc2ccc(Cl)cc2Cl)CC1,0,0,0
21,COc1ccc(C2CN=C(O)C2)cc1OC1CCCC1,0,0,0
22,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,0,0,0
23,CCc1cc(C(N)=S)ccn1,0,0,0
24,COc1cc(C(O)CN)ccc1O,0,0,0
25,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,0,0,0
